Id,content,Labels
PS_01,"இஸ்லாமிய சகோதரர்களுடன் ரமலான் கொண்டாடிய அதிமுக வேட்பாளர் ராயபுரம் மனோ

#royapurammano #admk #chennai #electioncampaign

",Sarcastic
PS_02,"
ஓபிஎஸ் - எடப்பாடி போட்டா போட்டி! திடீரென பணிகளை முடுக்கியுள்ள எடப்பாடி!
#AIADMK #OPS #EPS #Annamalai #Edappadi #OPanneerselvam #OPSvsEPS #DMK #BJP #Seeman #NaamTamilar #MKStalin #IPL #IPL2023 #CSK #ChennaiSuperKings #RCBVSLSG #ViratvsGambhir #ViratKohli",Sarcastic
PS_03,"இன்றைய பரப்புரை:

நாம் தமிழர் கட்சி தலைமை ஒருங்கிணைப்பாளர் சீமான் அவர்களின் பயணப் பரப்புரை.

#சீமானின்_சின்னம்_ஒலிவாங்கி 
#NTK_Symbol_Mic 
#நாம்தமிழர்கட்சி ",Opinionated
PS_04,"🇰🇬🎙️ இன்னும் 05 ஏ நாளில், வெல்வோம் தமிழராய் - தலை நிமிர்வோம் - நாம் தமிழராய் - மைக் சின்னத்திலே நம்முடைய வாக்கு  | அடைவோம் நம்முடைய இலக்கு  🎙️🇰🇬

#மக்களின்_சின்னம்_மைக்
#Mike_VoiceOfPeople
🎙️🎙️🎙️🎙️🎙️🎙️🎙️🎙️🎙️ ",Opinionated
PS_05,"டாஸ்மாக்ல மட்டும்தான் கருணாநிதி அவர்களின்  பெயர் பொருத்தமானனது .

தம்பி சொன்ன பதில் , மறுபதில் சொன்ன அண்ணன் கலகலப்பான பொதுக் கூட்டம் . 

#மக்களின்_சின்னம்_மைக்
#Mike_VoiceOfPeople
#Elections2024
#திருவாரூர் ",Positive
PS_06,நன்றி அண்ணா. #மக்களின்_சின்னம்_மைக்,Opinionated
PS_07,"தேர்தல் என்ற இந்த போரில் எதிரிகளை ஓட ஓட விரட்டுவோம் - ஈபிஎஸ் ஆவேசம்! 

#Tamilnadu #ADMK #EdappadiKPalaniswami 
#LokSabhaElection2024 #IBCTamilnadu 

",Opinionated
PS_08," தமிழர்களுக்கு இந்த இரண்டு பாசிசம் - நாசிசம் அவசியற்றது.

#மக்களின்_சின்னம்_மைக்
#Mike_VoiceOfPeople",Neutral
PS_09,mony kathir  அரியாத ஜனங்கள்,Substantiated
PS_10,"நாடாளுமன்றத் தேர்தல் - 2024

நாம் தமிழர் கட்சியின் #வேலூர் நாடாளுமன்ற வேட்பாளர் பொறியாளர் திரு.மகேஷ் ஆனந்த் அவர்களை ஆதரித்து #வாணியம்பாடி தொகுதி நேதாஜி நகர் பகுதியில் வாக்கு சேகரிப்பில் உறவுகள்.

#Mike_VoiceOfPeople #Vellore4NTK
#மக்களின்_சின்னம்_மைக் #Vellore #Vaniyambadi ",Neutral
PS_11,"மற்றவர்கள் பெண்ணிய விடுதலையை பேசுவார்கள்.

நாம் தமிழர் பிள்ளைகள் தான் அதை செயல்படுத்துவார்கள்.

பெண்ணும் ஆணும் சமம்

கல்வி, வேலைவாய்ப்பு, அதிகாரம் அனைத்திலும் பெண்களுக்கு 50% இடஒதுக்கீடு 

நமது சின்னம்
#ஒலிவாங்கி (மைக்)

#மக்களின்_சின்னம்_மைக்
#Mike_VoiceOfPeople
#Say_No_To_ABCD ",Sarcastic
PS_12,"இந்திய ஒன்றியத்தில் ஆதிக்கவாதிகளை அகற்றுவதற்கான பிரச்சாரத்தை கடந்த 23- ஆம் தேதி தொடங்கிய நிலையில், நூறாவது பிரச்சாரக் கூட்டமாக, தூத்துக்குடி மக்களவைத் தொகுதியில் போட்டியிடும் கழக துணை பொதுச் செயலாளர் அத்தை   அவர்களுக்கு ஆதரவாக ஓட்டப்பிடாரம் - மாப்பிள்ளையூரணியில் நடைபெற்ற பரப்புரையில் இன்று வாக்கு சேகரித்தோம்.

மக்களாட்சியின் மாண்புகளை சிதைத்து, பாசிச பாதைக்கு நாட்டை இழுத்து செல்லும் பாசிசக் கூட்டத்துக்கு முடிவுகட்டுமாறு, திசையெங்கும் கூடி நின்ற பொதுமக்களை கேட்டுக் கொண்டோம்.

  ",Positive
